,zpid,latlon,street,zipcode,city,state,bedrooms,bathrooms,finishedSqFt,yearBuilt,price,rent,tax.year,tax,hoa,lat,lon
1934,80751465,"[""37.778785"",""-122.402557""]",920 Harrison St APT 4,94107,San Francisco,CA,1,1.5,857,1999,957300,3700,NA,371749,500,37.778785,-122.402557
1935,80756333,"[""37.771659"",""-122.410728""]",1375 Harrison St APT 4,94103,San Francisco,CA,1,1.5,1160,1996,957300,3900,NA,332001,500,37.771659,-122.410728
1939,64971628,"[""37.773105"",""-122.408684""]",1221 Harrison St APT 4,94103,San Francisco,CA,UNKNOWN,UNKNOWN,1303,2004,957300,4400,NA,661290,500,37.773105,-122.408684
1941,64972766,"[""37.772915"",""-122.408909""]",1247 Harrison St APT 4,94103,San Francisco,CA,2,3,1573,2005,957300,4400,NA,587385,500,37.772915,-122.408909
2276,2101652641,"[""37.77271"",""-122.4062""]",17 Decatur St APT 8,94103,San Francisco,CA,1,1,NA,UNKNOWN,957300,3300,NA,UNKNOWN,"500""zpid""",37.77271,-122.4062
2164,15076836,"[""37.783307"",""-122.427297""]",1280 Ellis St APT 7,94109,San Francisco,CA,3,2,1270,1962,971300,4750,NA,158560,500,37.783307,-122.427297
2166,64972122,"[""37.783118"",""-122.426853""]",1250 Ellis St APT 7,94109,San Francisco,CA,UNKNOWN,UNKNOWN,NA,UNKNOWN,971300,4500,NA,69419,500,37.783118,-122.426853
2167,64972110,"[""37.783163"",""-122.4265""]",1220 Ellis St APT 7,94109,San Francisco,CA,UNKNOWN,UNKNOWN,NA,UNKNOWN,971300,4654,NA,69419,"500""zpid""",37.783163,-122.4265
2170,64972106,"[""37.783163"",""-122.4265""]",1220 Ellis St APT 3,94109,San Francisco,CA,UNKNOWN,UNKNOWN,NA,UNKNOWN,971300,4654,NA,84669,500,37.783163,-122.4265
2171,64972118,"[""37.783118"",""-122.426853""]",1250 Ellis St APT 3,94109,San Francisco,CA,UNKNOWN,UNKNOWN,NA,UNKNOWN,971300,4500,NA,84669,500,37.783118,-122.426853
2172,15076832,"[""37.783307"",""-122.427297""]",1280 Ellis St APT 3,94109,San Francisco,CA,3,2,1270,1962,971300,4510,NA,635252,500,37.783307,-122.427297
2309,119685145,"[""37.779567"",""-122.436546""]",1122 1/2 Elm St,94115,San Francisco,CA,2,1,785,1890,971300,4001,NA,470377,"500""zpid""",37.779567,-122.436546
2319,15076838,"[""37.783307"",""-122.427297""]",1280 Ellis St APT 9,94109,San Francisco,CA,3,2,1268,1962,971300,4510,NA,337982,500,37.783307,-122.427297
2321,64972124,"[""37.783118"",""-122.426853""]",1250 Ellis St APT 9,94109,San Francisco,CA,UNKNOWN,UNKNOWN,NA,UNKNOWN,971300,4500,NA,84669,500,37.783118,-122.426853
2322,64972112,"[""37.783163"",""-122.4265""]",1220 Ellis St APT 9,94109,San Francisco,CA,3,2,1350,1963,971300,4850,NA,84669,"500""zpid""",37.783163,-122.4265
2328,15077518,"[""37.781441"",""-122.430932""]",1401 Eddy St # 1,94115,San Francisco,CA,2,1,778,1984,971300,3800,NA,176687,500,37.781441,-122.430932
794,89239905,"[""37.741615"",""-122.502681""]",2401 44th Ave UNIT 6,94116,San Francisco,CA,2,2,1145,2008,982900,3950,NA,573240,"500""zpid""",37.741615,-122.502681
804,89237119,"[""37.741615"",""-122.502677""]",2401 44th Ave UNIT 2,94116,San Francisco,CA,2,2,1222,2008,982900,3950,NA,614764,500,37.741615,-122.502677
955,2128329478,"[""37.742362"",""-122.496948""]",2390 39th Ave APT 3,94116,San Francisco,CA,3,2.5,1100,UNKNOWN,982900,4395,NA,UNKNOWN,"500""zpid""",37.742362,-122.496948
1235,89238235,"[""37.741615"",""-122.502677""]",2401 44th Ave UNIT 1,94116,San Francisco,CA,2,2,1072,2008,982900,4000,NA,562526,"500""zpid""",37.741615,-122.502677
