,zpid,latlon,street,zipcode,city,state,bedrooms,bathrooms,finishedSqFt,yearBuilt,price,rent,tax.year,tax,hoa,lat,lon
497,2112020915,"[""37.76797"",""-122.4233""]",429 14th St APT 3,94103,San Francisco,CA,1,1,NA,1906,1167700,4595,NA,UNKNOWN,"500""zpid""",37.76797,-122.4233
504,15143839,"[""37.763546"",""-122.425045""]",3542 17th St UNIT 2,94110,San Francisco,CA,2,2,996,1991,1167700,4450,NA,543660,500,37.763546,-122.425045
505,15143844,"[""37.763343"",""-122.425389""]",3566 17th St UNIT 2,94110,San Francisco,CA,2,2,1248,1994,1167700,4800,NA,670764,500,37.763343,-122.425389
506,15144026,"[""37.763173"",""-122.420047""]",3321 17th St APT 2,94110,San Francisco,CA,UNKNOWN,1,312,1925,1167700,3650,NA,74558,500,37.763173,-122.420047
509,63197190,"[""37.763146"",""-122.420502""]",3345 17th St APT 2,94110,San Francisco,CA,3,3.5,1781,2002,1167700,6500,NA,1341272,500,37.763146,-122.420502
511,2099740222,"[""37.7631"",""-122.427""]",3638 17th St # 2,94114,San Francisco,CA,1,1,772,1908,1167700,UNKNOWN,NA,UNKNOWN,500,37.7631,-122.427
518,67394647,"[""37.758243"",""-122.42171""]",3615 20th St APT 6,94110,San Francisco,CA,2,2,1022,2003,1167700,5499,NA,1400000,500,37.758243,-122.42171
519,80744778,"[""37.758632"",""-122.416126""]",3365 20th St APT 6,94110,San Francisco,CA,2,2,1202,2002,1167700,4600,NA,577228,500,37.758632,-122.416126
539,15143318,"[""37.764979"",""-122.425445""]",3256 16th St APT 4,94103,San Francisco,CA,1,1,753,1983,1167700,3495,NA,154558,500,37.764979,-122.425445
540,15143322,"[""37.764984"",""-122.425208""]",3250 16th St APT 4,94103,San Francisco,CA,1,1,541,1983,1167700,3195,NA,296346,500,37.764984,-122.425208
542,2098498037,"[""37.764834"",""-122.426935""]",3320 16th St APT 4,94114,San Francisco,CA,2,2,950,UNKNOWN,1167700,UNKNOWN,NA,UNKNOWN,500,37.764834,-122.426935
543,2101785704,"[""37.76448"",""-122.4247""]",3227 16th St APT 4,94103,San Francisco,CA,2,1,NA,UNKNOWN,1167700,3650,NA,UNKNOWN,"500""zpid""",37.76448,-122.4247
552,15143329,"[""37.764984"",""-122.425208""]",3250 16th St APT 8,94103,San Francisco,CA,3,2,1176,1983,1167700,4795,NA,793298,500,37.764984,-122.425208
573,15144652,"[""37.761289"",""-122.424587""]",3637 18th St APT 1,94110,San Francisco,CA,3,2,1664,1999,1167700,6000,NA,789040,500,37.761289,-122.424587
574,59779953,"[""37.762136"",""-122.408481""]",2600 18th St STE 1,94110,San Francisco,CA,UNKNOWN,UNKNOWN,1598,1999,1167700,4995,NA,822164,500,37.762136,-122.408481
577,80749240,"[""37.76238"",""-122.413398""]",3118 18th St APT 1,94110,San Francisco,CA,UNKNOWN,2,899,1998,1167700,4050,NA,480820,500,37.76238,-122.413398
579,2097649457,"[""37.761671"",""-122.424085""]",3606 18th St APT 1,94110,San Francisco,CA,1,1,NA,UNKNOWN,1167700,UNKNOWN,NA,UNKNOWN,500,37.761671,-122.424085
580,2103905138,"[""37.761768"",""-122.421806""]",3510 18th St APT 1,94110,San Francisco,CA,3,1,NA,UNKNOWN,1167700,5495,NA,UNKNOWN,500,37.761768,-122.421806
581,2108933890,"[""37.761302"",""-122.424407""]",3623 18th St # 1,94110,San Francisco,CA,3,2,1600,1999,1167700,5775,NA,UNKNOWN,500,37.761302,-122.424407
582,2109631056,"[""37.761703"",""-122.425498""]",3678 18th St APT 1,94110,San Francisco,CA,1,1,NA,UNKNOWN,1167700,4400,NA,UNKNOWN,500,37.761703,-122.425498
584,2120258085,"[""37.761925"",""-122.418477""]",3352 18th St APT 1,94110,San Francisco,CA,2,1,900,UNKNOWN,1167700,4500,NA,UNKNOWN,"500""zpid""",37.761925,-122.418477
608,15143840,"[""37.763546"",""-122.425045""]",3542 17th St UNIT 3,94110,San Francisco,CA,1,2,1120,1992,1167700,4400,NA,658220,500,37.763546,-122.425045
609,15143843,"[""37.763345"",""-122.425388""]",3566 17th St UNIT 3,94110,San Francisco,CA,2,2,1248,1994,1167700,5350,NA,1122901,500,37.763345,-122.425388
610,15144027,"[""37.763173"",""-122.420047""]",3321 17th St APT 3,94110,San Francisco,CA,UNKNOWN,1,317,1925,1167700,3750,NA,278346,500,37.763173,-122.420047
612,63197191,"[""37.763146"",""-122.420502""]",3345 17th St APT 3,94110,San Francisco,CA,3,3.5,1977,2002,1167700,7300,NA,819446,500,37.763146,-122.420502
613,89237816,"[""37.763736"",""-122.418144""]",3236 17th St # 3,94110,San Francisco,CA,1,2,1273,2008,1167700,4500,NA,796888,500,37.763736,-122.418144
614,2121820682,"[""37.762828"",""-122.424507""]",3525 17th St APT 3,94110,San Francisco,CA,1,1,NA,UNKNOWN,1167700,4450,NA,UNKNOWN,"500""zpid""",37.762828,-122.424507
616,15143316,"[""37.766143"",""-122.425235""]",1851 15th St APT 1,94103,San Francisco,CA,0,1,620,1983,1167700,3495,NA,494690,500,37.766143,-122.425235
617,53153407,"[""37.766004"",""-122.424871""]",1821 15th St APT 1,94103,San Francisco,CA,UNKNOWN,UNKNOWN,1010,2000,1167700,4500,NA,672734,500,37.766004,-122.424871
618,53153410,"[""37.766004"",""-122.424871""]",1823 15th St APT 1,94103,San Francisco,CA,UNKNOWN,UNKNOWN,1154,2000,1167700,4450,NA,676909,500,37.766004,-122.424871
620,2121445380,"[""37.766327"",""-122.424755""]",1829 15th St APT 1,94103,San Francisco,CA,2,2,NA,2000,1167700,4800,NA,UNKNOWN,"500""zpid""",37.766327,-122.424755
636,89237807,"[""37.760635"",""-122.424362""]",3620 19th St APT 5,94110,San Francisco,CA,2,2,1280,2008,1167700,5250,NA,878611,500,37.760635,-122.424362
641,89238125,"[""37.760635"",""-122.424362""]",3620 19th St APT 4,94110,San Francisco,CA,2,2,1280,2008,1167700,5297,NA,814323,500,37.760635,-122.424362
643,2099452962,"[""37.76023"",""-122.4228""]",3560 19th St APT 4,94110,San Francisco,CA,0,1,NA,UNKNOWN,1167700,UNKNOWN,NA,UNKNOWN,500,37.76023,-122.4228
693,121336584,"[""37.754188"",""-122.422035""]",33 Alvarado St # 1,94110,San Francisco,CA,2,1,708,1978,1167700,3900,NA,194790,500,37.754188,-122.422035
696,121337922,"[""37.754188"",""-122.422035""]",33 Alvarado St # 2,94110,San Francisco,CA,2,1,685,1978,1167700,3950,NA,194790,500,37.754188,-122.422035
727,121337922,"[""37.754188"",""-122.422035""]",33 Alvarado St # 2,94110,San Francisco,CA,2,1,685,1978,1167700,3950,NA,194790,500,37.754188,-122.422035
731,121336584,"[""37.754188"",""-122.422035""]",33 Alvarado St # 1,94110,San Francisco,CA,2,1,708,1978,1167700,3900,NA,194790,500,37.754188,-122.422035
734,121338813,"[""37.754188"",""-122.422035""]",33 Alvarado St # 3,94110,San Francisco,CA,3,2,1608,1978,1167700,5999,NA,1080962,500,37.754188,-122.422035
735,2117033977,"[""37.754188"",""-122.422035""]",33 Alvarado St # 3,94110,San Francisco,CA,3,2,NA,UNKNOWN,1167700,5700,NA,UNKNOWN,500,37.754188,-122.422035
784,124904445,"[""37.749048"",""-122.419006""]",3418 26th St APT 9,94110,San Francisco,CA,2,2,753,2014,1167700,4100,NA,460643,"500""zpid""",37.749048,-122.419006
795,15143793,"[""37.763695"",""-122.427021""]",9 Abbey St,94114,San Francisco,CA,3,2,1830,1900,1167700,6700,NA,1244374,"500""zpid""",37.763695,-122.427021
815,2127575204,"[""37.768257"",""-122.423927""]",480 14th St APT 6,94103,San Francisco,CA,2,2,NA,UNKNOWN,1167700,4860,NA,UNKNOWN,"500""zpid""",37.768257,-122.423927
818,2131308339,"[""37.768257"",""-122.423927""]",480 14th St APT 9,94103,San Francisco,CA,1,1,1007,2009,1167700,4300,NA,UNKNOWN,"500""zpid""",37.768257,-122.423927
820,59779667,"[""37.767836"",""-122.422803""]",425 14th St APT 5,94103,San Francisco,CA,3,2.5,1952,2001,1167700,6500,NA,998845,"500""zpid""",37.767836,-122.422803
825,15143317,"[""37.766146"",""-122.425237""]",1851 15th St APT 2,94103,San Francisco,CA,1,1,775,1983,1167700,3657,NA,130558,500,37.766146,-122.425237
826,53153408,"[""37.766004"",""-122.424871""]",1821 15th St APT 2,94103,San Francisco,CA,UNKNOWN,UNKNOWN,1445,2000,1167700,4800,NA,821766,500,37.766004,-122.424871
833,51174978,"[""37.767714"",""-122.42575""]",565 14th St APT 2,94103,San Francisco,CA,UNKNOWN,UNKNOWN,977,1924,1167700,4500,NA,560000,500,37.767714,-122.42575
834,59779664,"[""37.767836"",""-122.422803""]",425 14th St APT 2,94103,San Francisco,CA,2,2,1099,2001,1167700,4800,NA,687372,500,37.767836,-122.422803
835,89237688,"[""37.767701"",""-122.425956""]",575 14th St APT 2,94103,San Francisco,CA,UNKNOWN,1,986,1925,1167700,4500,NA,784036,500,37.767701,-122.425956
836,2124349183,"[""37.768063"",""-122.422887""]",429 14th St APT 2,94103,San Francisco,CA,1,1,704,1906,1167700,3750,NA,UNKNOWN,500,37.768063,-122.422887
838,2127575199,"[""37.768257"",""-122.423927""]",480 14th St APT 2,94103,San Francisco,CA,3,2.5,NA,UNKNOWN,1167700,5695,NA,UNKNOWN,"500""zpid""",37.768257,-122.423927
839,15180689,"[""37.750344"",""-122.418755""]",3421 25th St APT 5,94110,San Francisco,CA,2,UNKNOWN,807,1980,1167700,4199,NA,559644,500,37.750344,-122.418755
840,2105646929,"[""37.750499"",""-122.419998""]",3465 25th St APT 5,94110,San Francisco,CA,0,1,NA,UNKNOWN,1167700,1995,NA,UNKNOWN,"500""zpid""",37.750499,-122.419998
841,15180687,"[""37.750344"",""-122.418755""]",3421 25th St APT 3,94110,San Francisco,CA,2,1,854,1980,1167700,4250,NA,149146,500,37.750344,-122.418755
842,121306755,"[""37.751064"",""-122.407699""]",2875 25th St APT 3,94110,San Francisco,CA,1,1,795,1937,1167700,3500,NA,476188,500,37.751064,-122.407699
843,2127382366,"[""37.75078"",""-122.4197""]",3460 25th St APT 3,94110,San Francisco,CA,1,1,1040,UNKNOWN,1167700,3991,NA,UNKNOWN,"500""zpid""",37.75078,-122.4197
847,15152958,"[""37.749365"",""-122.409605""]",2981 26th St # 1,94110,San Francisco,CA,3,2,1168,1993,1167700,4495,NA,681460,500,37.749365,-122.409605
848,15181903,"[""37.748883"",""-122.416408""]",3321 26th St APT 1,94110,San Francisco,CA,2,2,1034,1980,1167700,4150,NA,172514,500,37.748883,-122.416408
849,54854760,"[""37.749486"",""-122.413344""]",3166 26th St # 1,94110,San Francisco,CA,3,2,1483,2001,1167700,4430,NA,653806,500,37.749486,-122.413344
850,125272541,"[""37.749048"",""-122.419006""]",3418 26th St APT 1,94110,San Francisco,CA,1,1,261,2014,1167700,2900,NA,412965,500,37.749048,-122.419006
851,2098869018,"[""37.74906"",""-122.4219""]",3632 26th St APT 1,94110,San Francisco,CA,0,1,NA,1904,1167700,UNKNOWN,NA,UNKNOWN,500,37.74906,-122.4219
852,2103178949,"[""37.74903"",""-122.422""]",3640 26th St APT 1,94110,San Francisco,CA,1,1,775,UNKNOWN,1167700,3267,NA,UNKNOWN,"500""zpid""",37.74903,-122.422
857,124397835,"[""37.752426"",""-122.414786""]",3135 24th St # 8,94110,San Francisco,CA,3,2,1222,2014,1167700,5999,NA,1325974,500,37.752426,-122.414786
858,2111407660,"[""37.752536"",""-122.409713""]",2889 24th St APT 8,94110,San Francisco,CA,3,2,1272,2007,1167700,5295,NA,UNKNOWN,"500""zpid""",37.752536,-122.409713
861,124397622,"[""37.752426"",""-122.414786""]",3135 24th St # 5,94110,San Francisco,CA,3,3,2016,2014,1167700,6500,NA,1728864,500,37.752426,-122.414786
862,2098787524,"[""37.752536"",""-122.409713""]",2889 24th St APT 5,94110,San Francisco,CA,2,2,973,2007,1167700,UNKNOWN,NA,UNKNOWN,500,37.752536,-122.409713
871,15181904,"[""37.748885"",""-122.416415""]",3321 26th St APT 2,94110,San Francisco,CA,2,2,1034,1980,1167700,4050,NA,177566,500,37.748885,-122.416415
872,53734667,"[""37.749366"",""-122.409598""]",2981 26th St # 2,94110,San Francisco,CA,3,2,1168,1993,1167700,4250,NA,605445,500,37.749366,-122.409598
873,54854761,"[""37.749484"",""-122.413341""]",3166 26th St # 2,94110,San Francisco,CA,2,2,1518,2001,1167700,4350,NA,633182,500,37.749484,-122.413341
874,125309735,"[""37.749048"",""-122.419006""]",3418 26th St APT 2,94110,San Francisco,CA,2,2,774,2014,1167700,4500,NA,1025000,500,37.749048,-122.419006
875,2115831236,"[""37.749046"",""-122.420997""]",3514 26th St UNIT 2,94110,San Francisco,CA,1,UNKNOWN,NA,1908,1167700,5000,NA,UNKNOWN,"500""zpid""",37.749046,-122.420997
876,15181905,"[""37.748885"",""-122.416415""]",3321 26th St APT 3,94110,San Francisco,CA,2,2,1034,1980,1167700,4250,NA,521904,500,37.748885,-122.416415
877,54854762,"[""37.749486"",""-122.413344""]",3166 26th St # 3,94110,San Francisco,CA,3,2,1449,2001,1167700,4430,NA,630134,500,37.749486,-122.413344
878,124397907,"[""37.749048"",""-122.419006""]",3418 26th St APT 3,94110,San Francisco,CA,2,2,616,2014,1167700,3950,NA,375038,500,37.749048,-122.419006
879,2098598247,"[""37.748696"",""-122.421649""]",3623 26th St APT 3,94110,San Francisco,CA,1,1,NA,UNKNOWN,1167700,UNKNOWN,NA,UNKNOWN,500,37.748696,-122.421649
880,2103032309,"[""37.749202"",""-122.418983""]",3418 26th St APT 3,94110,San Francisco,CA,1,2,616,2014,1167700,3800,NA,UNKNOWN,"500""zpid""",37.749202,-122.418983
881,15180686,"[""37.750344"",""-122.418755""]",3421 25th St APT 2,94110,San Francisco,CA,2,1,807,1980,1167700,4200,NA,569232,500,37.750344,-122.418755
882,116156281,"[""37.751064"",""-122.407699""]",2875 25th St APT 2,94110,San Francisco,CA,1,1,785,1937,1167700,3500,NA,432072,500,37.751064,-122.407699
883,2105709739,"[""37.750549"",""-122.41967""]",3475 25th St APT 2,94110,San Francisco,CA,1,1,NA,UNKNOWN,1167700,2900,NA,UNKNOWN,500,37.750549,-122.41967
884,2113252002,"[""37.75035"",""-122.4198""]",3465 25th St APT 2,94110,San Francisco,CA,1,1,NA,UNKNOWN,1167700,2900,NA,UNKNOWN,500,37.75035,-122.4198
885,2127382370,"[""37.750774"",""-122.4197""]",3460 25th St APT 2,94110,San Francisco,CA,1,1,1048,UNKNOWN,1167700,3995,NA,UNKNOWN,500,37.750774,-122.4197
903,15180688,"[""37.750344"",""-122.418755""]",3421 25th St APT 4,94110,San Francisco,CA,2,1,905,1980,1167700,4300,NA,800684,500,37.750344,-122.418755
904,121337688,"[""37.751064"",""-122.407699""]",2875 25th St APT 4,94110,San Francisco,CA,1,1,785,1937,1167700,3500,NA,465166,500,37.751064,-122.407699
905,2110578145,"[""37.75057"",""-122.41969""]",3460 25th St APT 4,94110,San Francisco,CA,1,1,1048,UNKNOWN,1167700,4400,NA,UNKNOWN,500,37.75057,-122.41969
906,2123364395,"[""37.75035"",""-122.4198""]",3465 25th St APT 4,94110,San Francisco,CA,0,1,NA,UNKNOWN,1167700,1995,NA,UNKNOWN,"500""zpid""",37.75035,-122.4198
913,124397611,"[""37.752426"",""-122.414786""]",3135 24th St APT 2,94110,San Francisco,CA,1,3,978,2014,1167700,4500,NA,841482,500,37.752426,-122.414786
916,2119366612,"[""37.75295"",""-122.4057""]",2637 24th St APT 2,94110,San Francisco,CA,2,2.5,1110,UNKNOWN,1167700,4400,NA,UNKNOWN,500,37.75295,-122.4057
923,124397616,"[""37.752426"",""-122.414786""]",3135 24th St APT 4,94110,San Francisco,CA,3,3,1908,2014,1167700,6499,NA,1744164,500,37.752426,-122.414786
925,2098335940,"[""37.752102"",""-122.422614""]",3560 24th St APT 4,94110,San Francisco,CA,1,1,NA,UNKNOWN,1167700,UNKNOWN,NA,UNKNOWN,500,37.752102,-122.422614
926,2109813019,"[""37.752827"",""-122.40597""]",2637 24th St APT 4,94110,San Francisco,CA,2,2.5,1134,UNKNOWN,1167700,4500,NA,UNKNOWN,500,37.752827,-122.40597
928,2118551731,"[""37.752995"",""-122.405641""]",2625 24th St APT 4,94110,San Francisco,CA,3,3,1700,UNKNOWN,1167700,5450,NA,UNKNOWN,500,37.752995,-122.405641
930,125217115,"[""37.749048"",""-122.419006""]",3418 26th St APT 5,94110,San Francisco,CA,2,2,795,2014,1167700,4500,NA,980500,"500""zpid""",37.749048,-122.419006
937,124397708,"[""37.752426"",""-122.414786""]",3135 24th St APT 1,94110,San Francisco,CA,2,2,1065,2014,1167700,4800,NA,953680,500,37.752426,-122.414786
940,2111234561,"[""37.752957"",""-122.405733""]",2637 24th St APT 1,94110,San Francisco,CA,2,2.5,NA,UNKNOWN,1167700,4300,NA,UNKNOWN,500,37.752957,-122.405733
941,2112303624,"[""37.752536"",""-122.409713""]",2889 24th St APT 1,94110,San Francisco,CA,1,1,839,2006,1167700,3995,NA,UNKNOWN,500,37.752536,-122.409713
961,121338813,"[""37.754188"",""-122.422035""]",33 Alvarado St # 3,94110,San Francisco,CA,3,2,1608,1978,1167700,5999,NA,1080962,500,37.754188,-122.422035
962,2117033977,"[""37.754188"",""-122.422035""]",33 Alvarado St # 3,94110,San Francisco,CA,3,2,NA,UNKNOWN,1167700,5700,NA,UNKNOWN,500,37.754188,-122.422035
966,124397658,"[""37.749048"",""-122.419006""]",3418 26th St APT 6,94110,San Francisco,CA,2,2,616,2014,1167700,3950,NA,375038,500,37.749048,-122.419006
967,2104828247,"[""37.749203"",""-122.418983""]",3418 26th St APT 6,94110,San Francisco,CA,1,2,616,2014,1167700,3800,NA,UNKNOWN,"500""zpid""",37.749203,-122.418983
978,15181906,"[""37.748885"",""-122.416415""]",3321 26th St APT 4,94110,San Francisco,CA,2,2,1034,1980,1167700,4450,NA,613121,500,37.748885,-122.416415
979,124903502,"[""37.749048"",""-122.419006""]",3418 26th St APT 4,94110,San Francisco,CA,1,1,498,2014,1167700,2995,NA,301656,500,37.749048,-122.419006
980,2104828246,"[""37.749203"",""-122.418983""]",3418 26th St APT 4,94110,San Francisco,CA,1,1,500,2014,1167700,3000,NA,UNKNOWN,"500""zpid""",37.749203,-122.418983
982,124397827,"[""37.752426"",""-122.414786""]",3135 24th St # 9,94110,San Francisco,CA,2,2,1041,2014,1167700,5000,NA,1223976,"500""zpid""",37.752426,-122.414786
984,124397974,"[""37.752426"",""-122.414786""]",3135 24th St # 7,94110,San Francisco,CA,2,2,943,2014,1167700,4995,NA,1070978,500,37.752426,-122.414786
985,2108309897,"[""37.752536"",""-122.409713""]",2889 24th St APT 7,94110,San Francisco,CA,3,3,1457,2006,1167700,5500,NA,UNKNOWN,"500""zpid""",37.752536,-122.409713
987,124398007,"[""37.752426"",""-122.414786""]",3135 24th St # 6,94110,San Francisco,CA,3,3,1878,2014,1167700,6490,NA,1620748,500,37.752426,-122.414786
988,2097357657,"[""37.752827"",""-122.405969""]",2637 24th St APT 6,94110,San Francisco,CA,2,2.5,NA,UNKNOWN,1167700,UNKNOWN,NA,UNKNOWN,500,37.752827,-122.405969
989,2100126076,"[""37.75191"",""-122.4213""]",3435 24th St APT 6,94110,San Francisco,CA,UNKNOWN,UNKNOWN,NA,UNKNOWN,1167700,UNKNOWN,NA,UNKNOWN,500,37.75191,-122.4213
991,2112729355,"[""37.75254"",""-122.4097""]",2889 24th St APT 6,94110,San Francisco,CA,2,2,935,2007,1167700,4250,NA,UNKNOWN,500,37.75254,-122.4097
993,2120291197,"[""37.752101"",""-122.422615""]",3560 24th St APT 6,94110,San Francisco,CA,1,1,NA,UNKNOWN,1167700,2995,NA,UNKNOWN,"500""zpid""",37.752101,-122.422615
1000,15180685,"[""37.750344"",""-122.418755""]",3421 25th St # 1,94110,San Francisco,CA,2,1,1486,1980,1167700,5400,NA,137840,500,37.750344,-122.418755
1001,116156340,"[""37.751064"",""-122.407699""]",2875 25th St APT 1,94110,San Francisco,CA,1,1,795,1937,1167700,3500,NA,466664,500,37.751064,-122.407699
1003,2115583370,"[""37.75035"",""-122.419787""]",3465 25th St APT 1,94110,San Francisco,CA,0,1,NA,UNKNOWN,1167700,1995,NA,UNKNOWN,500,37.75035,-122.419787
1004,2127382373,"[""37.75078"",""-122.4197""]",3460 25th St APT 1,94110,San Francisco,CA,1,1,1048,UNKNOWN,1167700,3995,NA,UNKNOWN,500,37.75078,-122.4197
1012,124861982,"[""37.752426"",""-122.414786""]",3135 24th St APT 3,94110,San Francisco,CA,2,2,983,2014,1167700,4950,NA,978160,500,37.752426,-122.414786
1013,2099844196,"[""37.7528"",""-122.4058""]",2625 24th St APT 3,94110,San Francisco,CA,2,2.5,1076,2006,1167700,UNKNOWN,NA,UNKNOWN,500,37.7528,-122.4058
1015,2112101037,"[""37.752826"",""-122.405967""]",2637 24th St APT 3,94110,San Francisco,CA,2,2.5,1223,2006,1167700,4350,NA,UNKNOWN,500,37.752826,-122.405967
1051,67394441,"[""37.756035"",""-122.4125""]",2900 22nd St APT 9,94110,San Francisco,CA,2,2,873,2003,1167700,4195,NA,507500,500,37.756035,-122.4125
1052,2125416425,"[""37.755112"",""-122.423503""]",3415 22nd St APT 9,94110,San Francisco,CA,1,1,650,UNKNOWN,1167700,3156,NA,UNKNOWN,"500""zpid""",37.755112,-122.423503
1064,67394462,"[""37.755858"",""-122.413517""]",2900 22nd St APT 6,94110,San Francisco,CA,UNKNOWN,UNKNOWN,865,2003,1167700,3995,NA,479108,"500""zpid""",37.755858,-122.413517
1095,63133081,"[""37.756035"",""-122.4125""]",2900 22nd St APT 7,94110,San Francisco,CA,1,2,845,2003,1167700,4200,NA,784364,500,37.756035,-122.4125
1096,2116452636,"[""37.755113"",""-122.42349""]",3415 22nd St APT 7,94110,San Francisco,CA,0,1,400,UNKNOWN,1167700,2610,NA,UNKNOWN,"500""zpid""",37.755113,-122.42349
1133,15145911,"[""37.755858"",""-122.41482""]",3014 22nd St # 1,94110,San Francisco,CA,3,2,1430,1994,1167700,5500,NA,284569,500,37.755858,-122.41482
1134,15151283,"[""37.755676"",""-122.410929""]",2825 22nd St # 1,94110,San Francisco,CA,2,2,1375,1900,1167700,4400,NA,360467,500,37.755676,-122.410929
1136,64972442,"[""37.755014"",""-122.42168""]",3321 22nd St # 1,94110,San Francisco,CA,3,2,1420,1990,1167700,4350,NA,327329,500,37.755014,-122.42168
1137,67394594,"[""37.755886"",""-122.412355""]",2900 22nd St APT 1,94110,San Francisco,CA,1,2,1133,2003,1167700,4200,NA,479701,500,37.755886,-122.412355
1138,96047696,"[""37.755359"",""-122.416275""]",3089 22nd St # 1,94110,San Francisco,CA,3,2,1355,2009,1167700,5750,NA,972354,500,37.755359,-122.416275
1139,2098093137,"[""37.75602"",""-122.408298""]",2697 22nd St # 1,94110,San Francisco,CA,3,2,1295,UNKNOWN,1167700,UNKNOWN,NA,UNKNOWN,500,37.75602,-122.408298
1140,2098096943,"[""37.756022"",""-122.408276""]",2695 22nd St # 1,94110,San Francisco,CA,3,2,1399,UNKNOWN,1167700,UNKNOWN,NA,UNKNOWN,500,37.756022,-122.408276
1141,2114936835,"[""37.755878"",""-122.415008""]",3024 22nd St APT 1,94110,San Francisco,CA,1,1,750,UNKNOWN,1167700,3470,NA,UNKNOWN,500,37.755878,-122.415008
1142,2116325352,"[""37.755443"",""-122.41497""]",3027 22nd St APT 1,94110,San Francisco,CA,2,1,1900,UNKNOWN,1167700,4295,NA,UNKNOWN,"500""zpid""",37.755443,-122.41497
1239,15143795,"[""37.763711"",""-122.427413""]",2 Abbey St,94114,San Francisco,CA,UNKNOWN,1,1125,1923,1167700,5300,NA,44550,"500""zpid""",37.763711,-122.427413
1285,15143793,"[""37.763695"",""-122.427021""]",9 Abbey St,94114,San Francisco,CA,3,2,1830,1900,1167700,6700,NA,1244374,"500""zpid""",37.763695,-122.427021
1286,15143795,"[""37.763711"",""-122.427413""]",2 Abbey St,94114,San Francisco,CA,UNKNOWN,1,1125,1923,1167700,5450,NA,44550,"500""zpid""",37.763711,-122.427413
1288,60545359,"[""37.765164"",""-122.41275""]",320 Alabama St APT 7,94110,San Francisco,CA,1,1,1315,2003,1167700,4400,NA,847108,500,37.765164,-122.41275
1289,64972810,"[""37.76481"",""-122.41271""]",350 Alabama St APT 7,94110,San Francisco,CA,3,2,2025,2003,1167700,6499,NA,1300474,500,37.76481,-122.41271
1290,69820074,"[""37.764453"",""-122.412673""]",380 Alabama St APT 7,94110,San Francisco,CA,UNKNOWN,UNKNOWN,1299,2005,1167700,4250,NA,151253,"500""zpid""",37.764453,-122.412673
1291,64969461,"[""37.765164"",""-122.41275""]",320 Alabama St APT 9,94110,San Francisco,CA,3,2,2271,2003,1167700,5700,NA,974234,500,37.765164,-122.41275
1292,64971642,"[""37.76481"",""-122.41271""]",350 Alabama St APT 9,94110,San Francisco,CA,2,2,1695,2003,1167700,5000,NA,826900,500,37.76481,-122.41271
1293,69820076,"[""37.764453"",""-122.412673""]",380 Alabama St APT 9,94110,San Francisco,CA,UNKNOWN,UNKNOWN,2238,2005,1167700,5500,NA,263828,"500""zpid""",37.764453,-122.412673
1302,60543122,"[""37.765164"",""-122.41275""]",320 Alabama St APT 5,94110,San Francisco,CA,1,2,1315,2003,1167700,4400,NA,858482,500,37.765164,-122.41275
1303,64972808,"[""37.76481"",""-122.41271""]",350 Alabama St APT 5,94110,San Francisco,CA,1,2,1298,2003,1167700,4480,NA,847108,500,37.76481,-122.41271
1304,69820072,"[""37.764453"",""-122.412673""]",380 Alabama St APT 5,94110,San Francisco,CA,UNKNOWN,UNKNOWN,1299,2005,1167700,4250,NA,151253,"500""zpid""",37.764453,-122.412673
1321,64972810,"[""37.76481"",""-122.41271""]",350 Alabama St APT 7,94110,San Francisco,CA,3,2,2025,2003,1167700,6500,NA,1300474,500,37.76481,-122.41271
1322,69820074,"[""37.764453"",""-122.412673""]",380 Alabama St APT 7,94110,San Francisco,CA,UNKNOWN,UNKNOWN,1299,2005,1167700,4300,NA,151253,500,37.764453,-122.412673
1323,60545359,"[""37.765164"",""-122.41275""]",320 Alabama St APT 7,94110,San Francisco,CA,1,1,1315,2003,1167700,4480,NA,847108,"500""zpid""",37.765164,-122.41275
1324,64969461,"[""37.765164"",""-122.41275""]",320 Alabama St APT 9,94110,San Francisco,CA,3,2,2271,2003,1167700,5700,NA,974234,500,37.765164,-122.41275
1325,64971642,"[""37.76481"",""-122.41271""]",350 Alabama St APT 9,94110,San Francisco,CA,2,2,1695,2003,1167700,5000,NA,826900,500,37.76481,-122.41271
1326,69820076,"[""37.764453"",""-122.412673""]",380 Alabama St APT 9,94110,San Francisco,CA,UNKNOWN,UNKNOWN,2238,2005,1167700,5500,NA,263828,"500""zpid""",37.764453,-122.412673
1335,64969493,"[""37.765114"",""-122.412451""]",320 Alabama St APT 3,94110,San Francisco,CA,2,2,1948,2003,1167700,6500,NA,1245920,500,37.765114,-122.412451
1336,64972806,"[""37.76481"",""-122.41271""]",350 Alabama St APT 3,94110,San Francisco,CA,1,1,1305,2003,1167700,4395,NA,637630,500,37.76481,-122.41271
1337,69820070,"[""37.764453"",""-122.412673""]",380 Alabama St APT 3,94110,San Francisco,CA,UNKNOWN,UNKNOWN,1907,2005,1167700,5300,NA,222929,"500""zpid""",37.764453,-122.412673
1338,64969456,"[""37.765164"",""-122.41275""]",320 Alabama St APT 4,94110,San Francisco,CA,1,1.5,1271,2003,1167700,4350,NA,658851,500,37.765164,-122.41275
1339,64972807,"[""37.76481"",""-122.41271""]",350 Alabama St APT 4,94110,San Francisco,CA,1,1,1249,2004,1167700,4250,NA,612429,500,37.76481,-122.41271
